Year;Province;Pop;UnempRate;GDP;CPI;RailToBeijing;RailToTianjin;RailToHebei;RailToShanxi;RailToInnerMongolia;RailToLiaoning;RailToJilin;RailToHeilongjiang;RailToShanghai;RailToJiangsu;RailToZhejiang;RailToAnhui;RailToFujian;RailToJiangxi;RailToShandong;RailToHenan;RailToHubei;RailToHunan;RailToGuangdong;RailToGuangxi;RailToHainan;RailToChongqing;RailToSichuan;RailToGuizhou;RailToYunnan;RailToTibet;RailToShaanxi;RailToGansu;RailToQinghai;RailToNingxia;RailToXinjiang;Rail_Total
1993;Chongqing;29.65;;608.5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1993;Sichuan;80.37;3.5;1486.1;116.8;47;47;66;44;16;58;16;39;62;108;51;28;30;26;55;120;383;65;219;80;0;0;4690;184;224;0;159;66;17;21;37;6958
1993;Guizhou;34.09;3.4;417.7;116.0;0;19;30;17;1;15;2;2;13;52;31;10;18;32;20;17;86;113;355;312;0;0;294;966;116;0;5;3;1;0;2;2532
1993;Yunnan;38.85;2.2;783.3;121.3;13;13;41;21;7;14;7;10;28;35;59;10;21;34;24;56;33;41;148;99;0;0;209;42;1254;0;49;20;4;3;5;2300
1993;Tibet;2.32;;37.4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1993;Shaanxi;34.43;2.5;678.2;113.1;13;26;23;61;9;19;4;8;45;534;52;38;10;27;22;70;186;35;79;25;0;0;171;7;15;0;1532;64;18;7;22;3122
1993;Gansu;23.45;3.6;372.2;115.4;15;57;30;16;67;39;9;13;24;66;33;12;24;6;29;69;33;28;70;8;0;0;148;6;13;0;128;1448;140;79;134;2744
1993;Qinghai;4.67;2.5;109.7;113.2;4;17;8;11;7;10;2;2;6;21;9;6;5;3;10;38;9;11;11;9;0;0;24;2;3;0;40;107;166;5;5;551
1993;Ningxia;4.91;3.8;104.5;114.3;18;84;17;3;56;102;5;7;2;10;6;2;3;1;4;9;2;3;12;2;0;0;18;2;3;0;61;446;32;516;5;1431
1993;Xinjiang;16.05;2.7;495.3;113.0;11;43;37;14;24;16;3;7;17;30;16;4;5;3;23;62;9;17;35;4;0;0;75;1;8;0;61;641;24;42;631;1863
1994;Beijing;11.25;0.4;1145.3;124.9;1001;348;546;94;40;104;32;50;40;90;37;15;20;15;117;92;51;43;102;17;0;0;56;8;15;0;41;17;5;7;15;3012.5
1994;Tianjin;8.91;1.1;732.9;124.0;164;409;348;141;67;82;41;57;29;70;29;14;30;9;46;68;34;22;81;14;0;0;31;6;11;0;40;26;8;12;36;1918.5
1994;Hebei;63.88;2.7;2187.5;122.6;1625;1702;4364;392;258;615;120;154;86;311;115;45;69;81;381;265;192;96;216;91;0;0;100;12;21;0;44;31;14;19;22;11435
1994;Shanxi;30.45;1.2;826.7;125.2;1738;2602;8534;2519;259;1609;206;73;166;1632;290;395;136;643;2551;751;890;295;187;148;0;0;89;6;5;0;155;34;30;24;8;25968
1994;InnerMongolia;22.61;3.7;695.1;122.9;121;557;1020;161;3063;773;413;1031;21;78;34;18;16;10;171;79;35;24;41;18;0;0;33;4;5;0;28;42;25;84;7;7903
1994;Liaoning;40.07;2.6;2461.8;124.3;224;355;488;161;391;9087;955;932;53;132;69;36;35;23;184;163;78;74;106;35;0;0;132;17;16;0;42;43;21;16;22;13882.5
1994;Jilin;25.16;1.9;937.7;120.6;133;117;260;53;126;1324;3009;556;48;82;46;21;35;18;186;79;41;45;106;44;0;0;101;6;12;0;16;12;3;3;8;6483.5
1994;Heilongjiang;36.72;2.4;1604.9;121.9;208;176;466;140;241;2471;1921;6724;45;129;45;26;29;17;313;102;38;42;92;25;0;0;44;7;12;0;24;17;3;17;8;13374.5
1994;Shanghai;12.99;2.7;1990.9;123.9;50;27;39;22;12;50;38;42;112;62;168;63;88;99;77;68;46;43;66;32;0;0;66;17;31;0;46;18;8;5;18;1405.5
1994;Jiangsu;70.21;2.1;4057.4;123.2;50;37;65;71;29;106;54;66;435;1663;280;302;108;74;229;230;46;48;101;38;0;0;75;16;34;0;90;58;29;9;42;4378.5
